#"Step","Potential Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)"
30000,-51409.517917238285,300.0133052172481,32.65540667689592,1.013928346145073
30100,-51200.43316815852,293.4532096175335,32.21198470230837,1.0278858254340073
30200,-51136.83451505273,296.55838599535093,32.1256990284876,1.0306466002572956
30300,-51204.25526485086,300.960739470119,32.03979157093316,1.0334100461077225
30400,-50983.33569891333,296.98098566472254,32.09291057295532,1.0316995839106549
30500,-51083.377879207095,304.26787765842016,32.09291057295532,1.0316995839106549
30600,-51034.688213033514,302.2199475520345,32.211387995786026,1.0279048667176782
30700,-51320.394995174014,300.09812442843133,32.168891409082434,1.0292627763744338
30800,-51297.45366054196,298.2025235138713,31.94966080905488,1.0363253207125147
30900,-50998.29209823401,304.2454572396844,32.245576895802714,1.0268150137797565
31000,-51009.08968425326,304.67675545019233,32.245576895802714,1.0268150137797565
31100,-51173.02424093549,307.197970593006,32.14262650627774,1.0301038242202494
31200,-51164.572278368316,305.38436185828857,32.14262650627774,1.0301038242202494
31300,-51456.05245533484,308.7109899035497,31.86478979959951,1.0390855452941352
31400,-51152.84896434438,299.7803936348743,32.026888886885125,1.03382637637833
31500,-51282.107066142715,296.4539524271396,32.026888886885125,1.03382637637833
31600,-51494.245239611584,308.54352725299134,31.918605303764654,1.0373336231171308
31700,-51157.845604127724,303.0256025047027,31.90462166381652,1.0377882813808963
31800,-51067.19085015583,308.64489840649196,31.922657003626096,1.0372019622564268
31900,-51130.692802255515,297.3584721791302,31.944938096327697,1.0364785301745858
32000,-51091.224795429895,291.7427722691406,31.749462404916887,1.042859940818155
32100,-51209.72026740603,302.92620917811877,32.01963575205227,1.0340605602447457
32200,-51299.87122959761,299.1097315549637,32.103624851271455,1.0313552640236678
32300,-51509.54588455513,300.5092310072661,31.94648751811989,1.036428260409533
32400,-51134.350980377014,294.878077250224,32.03925208248734,1.0334274470376268
32500,-51213.98476849659,298.51654624738035,31.96281448998251,1.0358988409790058
32600,-51267.57621670962,305.25083471370925,31.995499219130647,1.034840627359322
32700,-51153.66986689871,298.9906193234082,32.023496768157266,1.0339358854003478
32800,-51074.34200984145,301.4968817274426,32.031499294308404,1.0336775740773125
32900,-51308.184174412636,302.2546798073212,31.93163211740016,1.036910432979636
33000,-50948.09450770311,302.8219448784736,31.93163211740016,1.036910432979636
33100,-50658.26089356753,295.6873476543625,32.20737126958003,1.0280330613592357
33200,-50917.18420485265,305.50646413473487,32.15986602398985,1.029551629969511
33300,-50858.43713592438,297.74949730323124,32.05989871595546,1.0327619178697423
33400,-50890.90823948713,297.93268995892555,32.05989871595546,1.0327619178697423
33500,-50844.60533264423,302.3583844623214,31.870020203754763,1.038915013950916
33600,-50973.28333531508,303.4857576909635,31.870020203754763,1.038915013950916
33700,-51194.57283389029,317.5050300956316,31.870020203754763,1.038915013950916
33800,-50826.6598294441,311.22163906385384,32.10746403582012,1.0312319418207867
33900,-51061.54098131309,315.39426325091057,32.21060535878392,1.027929842230382
34000,-50898.89477122958,291.1596637056416,32.29069037548422,1.0253804455583229
34100,-51155.46995533957,301.63632773341385,32.12921620274385,1.0305337757281556
34200,-51116.182934887234,294.78111442064164,31.984085708245782,1.035209909910407
34300,-51380.37996038261,298.5986778251691,32.17539482623225,1.0290547377403256
34400,-50976.8602575131,301.9420648743204,32.29507074784292,1.0252413671151774
34500,-51031.631114034426,298.8723104676947,32.17710705604724,1.0289999789890136
34600,-51239.17126744312,299.3164756601795,31.879711160328362,1.0385991992864347
34700,-51243.320489136364,302.58394577408654,31.83493538335416,1.040059987114424
34800,-51094.84728978358,301.3997769962338,31.81400856182704,1.0407441244083946
34900,-51181.03933385811,303.2056690088538,32.07010658223327,1.0324331913178866
35000,-51015.539276513926,296.6978771251379,32.07740360920943,1.032198331510032
35100,-51069.26008040585,293.5286505746795,32.14657509473551,1.0299772957779927
35200,-51216.488099005306,294.6289446518046,32.31383497081616,1.0246460228104453
35300,-51333.38863774696,300.0783172222389,32.31383497081616,1.0246460228104453
35400,-51226.42031444176,303.01401250009087,32.252955591453585,1.0265801033556574
35500,-50838.533852482804,300.4561375060145,32.252955591453585,1.0265801033556574
35600,-50845.5291133612,303.4692644906791,32.22412570152058,1.0274985515910355
35700,-51053.10924048711,295.9949192987145,32.23955256121186,1.0270068860830142
35800,-51193.314766363896,303.7841103313279,32.20456267143282,1.0281227173431056
35900,-51398.80608280746,303.86053908634545,32.1481594087614,1.029926536807462
36000,-51357.19255823035,296.5073831200685,32.246152182279225,1.0267966949183935
36100,-51456.09134158546,308.0356371853304,32.072466748838835,1.0323572160472687
36200,-50934.8320353654,302.6262861153066,32.311126127155454,1.024731925290985
36300,-51282.94274718187,305.6783347907967,32.311126127155454,1.024731925290985
36400,-51059.11275724803,296.96667606430026,32.28776968802969,1.0254731994348647
36500,-51187.33426497228,303.17132596130693,32.20892476381995,1.0279834774798924
36600,-51278.73642739146,302.9978912352852,32.20169772427327,1.0282141882116276
36700,-50941.8584226846,300.818437037832,32.17766147990473,1.0289822492314282
36800,-50725.67575819315,304.8808345754707,32.17766147990473,1.0289822492314282
36900,-50867.4825521787,302.3271511935911,32.26737351297343,1.0261214000354737
37000,-51060.04277778106,301.416018277097,32.315032031425204,1.0246080663760857
37100,-51093.93681639781,300.60237654442994,32.315032031425204,1.0246080663760857
37200,-51034.778202495356,290.57576603570425,32.15774090979663,1.029619666924832
37300,-51412.10904482536,304.18070411707794,32.05545907101454,1.0329049542309965
37400,-51206.45985595712,297.73416690845346,32.009228513407315,1.034396766880257
37500,-51109.378319952855,294.4035047870482,32.204847816069226,1.0281136142515432
